SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MgO_Cpx,MnO_Cpx,CaO_Cpx,Na2O_Cpx,Cr2O3_Cpx,Total_Cpx,P_kbar
51.49,0.75,7.16,9.54,18.52,0.17,11.41,1.07,0.27,100.38,20
50.82,0.77,5.77,10.23,20.91,0.2,10.06,0.9,0.23,99.89,17
48.99,1.63,8.63,10.58,13.16,0.24,16.06,0.87,0.009239751074,100.1692398,10
50.64,1.33,5.86,10.77,17.63,0.19,13.52,0.54,0.23,100.71,8
50.6,0.44,7.3,5.3,15.4,0.16,19.1,0.89,0.003462821436,99.19346282,15
50.7,0.7,6.7,6.1,17.3,0.12,17.1,0.49,0.003805015818,99.21380502,10
53.2,0.11,6.43,7.6,14.5,0.31,15.8,0.99,0.34,99.28,20
50.6,0.8,9.5,8.08,11,0.19,17.1,2.1,0.01,99.38,30
51,0.68,10.8,8.1,10.8,0.16,15.1,2.6,0.006414927765,99.24641493,20
51.2,0.5,3.4,8.2,15.1,0.24,19.5,0.45,0.02,98.61,10
52.2,0.7,7.2,8.3,12.1,0.22,16.2,2.3,0.29,99.51,20
50.8,0.7,4.2,8.5,15,0.23,19,0.46,0.3,99.19,10
51,1.05,4.05,8.63,13.78,0.34,19.1,0.59,0.56,99.1,20
52.3,0.33,7.4,8.7,14.9,0.23,13.6,1.7,0.02,99.18,20
50.2,1.1,9.2,8.8,10.9,0.19,16.8,2,0.0008249428045,99.19082494,20
50.9,0.43,3.5,9,14.2,0.38,19.2,1.3,0.03,98.94,15
